Medical_Condition_Upper Respiratory Infections,Medical_Condition_Milk Fever,Medical_Condition_Hip Dysplasia,BMI,Medical_Condition_Parasites,Medical_Condition_Foot Rot,Medical_Condition_Encephalitozoon,Medical_Condition_RHD,Medical_Condition_Canine Distemper,Weight_kg,Medical_Condition_Lyme Disease,Medical_Condition_Pasteurellosis,Medical_Condition_Caseous Lymphadenitis,Medical_Condition_Mastitis,Medical_Condition_Ketosis,Medical_Condition_FLUTD,Medical_Condition_Strangles,Medical_Condition_Heartworm,Species_Horse,Medical_Condition_Pancreatitis,Medical_Condition_GI Stasis,Medical_Condition_Hyperthyroidism,Medical_Condition_Chronic Kidney Disease,Medical_Condition_Parvovirus,Medical_Condition_Bloat,Medical_Condition_Equine Influenza,Medical_Condition_Scrapie,Species_Cow,Medical_Condition_Enterotoxemia,Medical_Condition_Myxomatosis,Species_Rabbit,Medical_Condition_Uterine Tumors,Medical_Condition_Pregnancy Toxemia,Species_Sheep,Medical_Condition_Dental Disease,Species_Dog,Medical_Condition_PPID,True Label,Predicted Label
False,False,False,0.3926771138717229,False,False,False,False,False,0.7318162377034744,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5372366228671461,False,False,False,False,False,0.8539889803003999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.4938940796827874,False,False,False,False,False,0.7035499534556066,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.6137768122666779,False,False,False,False,False,0.7788512340554004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.8101575517263198,False,False,False,False,False,0.9747024932699324,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.5105983590998249,False,False,False,False,False,0.6250283040229451,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.4441397928838082,False,False,False,False,False,0.6780637532392381,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.2747980511674013,False,False,False,False,False,0.4036531058947845,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.5006854660114315,False,False,False,False,False,0.8947970916043977,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.4123130786914981,False,False,False,False,False,0.5561426019573804,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.6620758019952334,False,False,False,False,False,0.962990917553526,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.573387045746947,False,False,False,False,False,0.7136639243213324,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.4746377575770358,False,False,False,False,False,0.8883311948071552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.7069790985594667,False,False,False,False,False,0.904445618537248,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.413262185476557,False,False,False,False,False,0.7476413314212393,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.666800244658638,False,False,False,False,False,0.8372958965456512,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.5263113492080231,False,False,False,False,False,0.9221702266837748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.2539809756817751,False,False,False,False,False,0.4017787505975294,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5253200598991838,False,False,False,False,False,0.0507837069464362,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,23
False,False,False,0.5560078459494231,False,False,False,False,False,0.7639947669006466,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.315799464281948,False,False,False,False,False,0.3880796034920875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.602450804631641,False,False,False,False,False,0.8201625279895337,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.3320186446755109,False,False,False,False,False,0.4164591038317357,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.7145930441018286,False,False,False,False,False,0.841384255415503,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.261405099867125,False,False,False,False,False,0.4565124411905301,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.315799464281948,False,False,False,False,False,0.6586912219790172,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.7134541159597578,False,False,False,False,False,0.8719903388935013,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2645687891506548,False,False,False,False,False,0.3953757516290538,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.3257545398941219,False,False,False,False,False,0.4240194228495232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.4695969459852783,False,False,False,False,False,0.7565854026718998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.249003437875688,False,False,False,False,False,0.4832817571137444,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.541349418935735,False,False,False,False,False,0.7416282989911187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.3987513972961002,False,False,False,False,False,0.5625330213601026,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.7295467487819797,False,False,False,False,False,0.8611341736483256,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.6001307658237193,False,False,False,False,False,0.7810149193649835,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.315799464281948,False,False,False,False,False,0.9877600825219514,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.6435576740556387,False,False,False,False,False,0.9629783379877724,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.5089954231961699,False,False,False,False,False,0.972438171434322,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5719528399384135,False,False,False,False,False,0.9129368254207864,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5357180520110518,False,False,False,False,False,0.8639016781140714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.284732035517685,False,False,False,False,False,0.5191083603793997,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.4244827368021429,False,False,False,False,False,0.5925981835107051,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2943496509396157,False,False,False,False,False,0.5644199562231111,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.4328137852487714,False,False,False,False,False,0.5599416308149042,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.4583763946596925,False,False,False,False,False,0.7570382670390217,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.6412165439858266,False,False,False,False,False,0.8176466148388557,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.2561955581802459,False,False,False,False,False,0.4503610335371223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.3943644148229389,False,False,False,False,False,0.5144036027876318,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.3826798557357686,False,False,False,False,False,0.5565954663245024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.565646552633244,False,False,False,False,False,0.6679497823735124,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.1965494695547634,False,False,False,False,False,0.3826578106523763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.349735304663278,False,False,False,False,False,0.5672000402546103,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5562609410921056,False,False,False,False,False,0.9331647671522376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.5255098812561956,False,False,False,False,False,0.8295091453443026,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.2362643156940079,False,False,False,False,False,0.4232898080358266,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5174319279522493,False,False,False,False,False,0.906219337308476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.3216628350874233,False,False,False,False,False,0.4125216997509246,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2668677366966865,False,False,False,False,False,0.4048607442071099,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.3928458439668446,False,False,False,False,False,0.7327471255692253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.315799464281948,False,False,False,False,False,0.5299393664930686,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.3362158057916605,False,False,False,False,False,0.4136287015372229,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.5466433256701748,False,False,False,False,False,0.7529247490376632,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.3944276886086095,False,False,False,False,False,0.5137872040657157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.3220846603252272,False,False,False,False,False,0.4804261956877249,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.5528863391896737,False,False,False,False,False,0.969406496087755,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.3745386286461519,False,False,False,False,False,0.5295997182177271,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.2556471853711007,False,False,False,False,False,0.4833949732055249,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.2976820703182671,False,False,False,False,False,0.3961934234030241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.4408073735051568,False,False,False,False,False,0.6225375500037738,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.3810769198321135,False,False,False,False,False,0.6190530102900847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.608799274460591,False,False,False,False,False,0.864404860744207,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.399363043890916,False,False,False,False,False,0.7538178982061539,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.315799464281948,False,False,False,False,False,0.6269152388859536,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.4443085229789298,False,False,False,False,False,0.7226583138350063,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5714466496530487,False,False,False,False,False,0.7754295921704781,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.416974247569232,False,False,False,False,False,0.657332628877651,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.2428236981418598,False,False,False,False,False,0.0507837069464362,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.3916647333009934,False,False,False,False,False,0.5644954336176314,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2676270221247337,False,False,False,False,False,0.4646262611014668,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.3546917512074747,False,False,False,False,False,0.4369637960097617,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.4978170543943644,False,False,False,False,False,0.8856769064331897,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5667854807753148,False,False,False,False,False,0.7585729740609353,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.4274566047286609,False,False,False,False,False,0.8168792613278989,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.4795520215974521,False,False,False,False,False,0.9186731074043324,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.4239765465167781,False,False,False,False,False,0.8300249075401916,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.315799464281948,False,False,False,False,False,0.5890381664024957,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.3210933710163879,False,False,False,False,False,0.4302085692001912,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.6674118912534537,False,False,False,False,False,0.8918912119153646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.3973382827494569,False,False,False,False,False,0.6195687724859738,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.5399152131272014,False,False,False,False,False,0.8949857850906986,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.3638242676059308,False,False,False,False,False,0.5504817973683548,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.6025773522029823,False,False,False,False,False,0.932623845824842,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.4210026785902601,False,False,False,False,False,0.6809570533625179,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.5699280787969545,False,False,False,False,False,0.8799532040153973,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.4713897032459452,False,False,False,False,False,0.684894457443329,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2738278531204522,False,False,False,False,False,0.4720104661987068,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.3052116508130681,False,False,False,False,False,0.3736508415729488,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.5296859511104549,False,False,False,False,False,0.9700983722041914,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.6955054520911985,False,False,False,False,False,0.956348906835736,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.3086073439773902,False,False,False,False,False,0.4694568143507686,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.2796279501402569,False,False,False,False,False,0.5305809243464915,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5849028747389956,False,False,False,False,False,0.9854831811205876,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.5503132052390695,False,False,False,False,False,0.8924572923742672,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.417079703878683,False,False,False,False,False,0.6276825923969104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.6529432855967772,False,False,False,False,False,0.9309885022769012,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.300845759601797,False,False,False,False,False,0.5581427529121694,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.6969818404235126,False,False,False,False,False,0.9201197574659724,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.3116233944276886,False,False,False,False,False,0.5973532593654867,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.716006158648472,False,False,False,False,False,0.8815382293003244,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2698626958850948,False,False,False,False,False,0.4017410119002692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.6477337439098981,False,False,False,False,False,0.9642362945631116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.7824225423407083,False,False,False,False,False,0.9436183862933052,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.3281378524877144,False,False,False,False,False,0.5212846252547362,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2987155421508868,False,False,False,False,False,0.5728356857121292,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2621011115095016,False,False,False,False,False,0.4453417868015196,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,19
False,False,False,0.3633602598443465,False,False,False,False,False,0.5120763831232545,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.5264378967793644,False,False,False,False,False,0.9607769139809292,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.6403728935102186,False,False,False,False,False,0.9509145344302712,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.676776411532702,False,False,False,False,False,0.904445618537248,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2479277835192879,False,False,False,False,False,0.4377437290864719,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.3668825005800097,False,False,False,False,False,0.6870958814501723,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.2240524750595827,False,False,False,False,False,0.3773492339044456,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.2858076898740852,False,False,False,False,False,0.0507837069464362,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,23
False,False,False,0.3894923333263029,False,False,False,False,False,0.0507837069464362,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,19
False,False,False,0.5657731002045853,False,False,False,False,False,0.6974488640652123,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.3816042013793685,False,False,False,False,False,0.7181296701637859,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.5468331470271866,False,False,False,False,False,0.9452537298412458,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,23,11
False,False,False,0.5722270263429861,False,False,False,False,False,0.7428107781719374,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.456520363613355,False,False,False,False,False,0.8381764661483885,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,19
False,False,False,0.478898192478856,False,False,False,False,False,0.840931391048381,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,11
False,False,False,0.3636555375108093,False,False,False,False,False,0.0507837069464362,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30,23
