Animal_ID,Species,Age,Gender,Weight_kg,BMI,Medical_Condition,Daily_Caloric_Intake,Protein_Intake,Fat_Intake,Carbohydrate_Intake,Water_Intake,Activity_Level,Metabolic_Rate,Heart_Rate,Respiratory_Rate,Feeding_Frequency
91,Dog,8,Male,29.46,138.62,Canine Distemper,1469.2,,147.8,204.3,1.03,Active,1774.6,65,25,4
92,Sheep,6,Female,113.14,,Parasites,457.2,63.4,132.8,,0.95,Active,1651.4,105,22,3
93,Sheep,6,Male,,325.73,Enterotoxemia,2189.8,122.7,75.8,130.2,3.39,Sedentary,,100,19,3
94,Horse,11,Female,392.19,190.16,PPID,1917.6,91,100.8,218.5,2.53,Sedentary,1068.9,132,21,1
95,Rabbit,2,Male,18.88,40.64,Uterine Tumors,749.3,70.3,162.4,140.2,,Moderate,,117,24,1
96,Rabbit,13,Male,10.41,8.625,RHD,,32.5,,,2.93,Moderate,1625.9,151,11,4
97,Cow,3,Male,709.55,,Bloat,716.6,33.8,27.5,42.1,2.58,Sedentary,,108,18,4
98,Cow,17,Female,392.57,150.18,Milk Fever,,,39.3,159.3,4.42,Active,,138,20,1
99,Cow,12,Female,410.6,127.42,Foot-and-Mouth,744.7,135.4,88.2,217.6,,Active,1210.8,129,,3
100,Cow,7,Female,448.67,,Milk Fever,1572.6,35.9,105.2,45.4,,Sedentary,340.8,,29,1
101,Dog,14,Female,25.87,168.35,Canine Distemper,897.3,119.8,,31,4.61,Moderate,,66,13,3
102,Horse,17,Female,569.2,205.4,Equine Influenza,586.6,25.3,25.3,223.3,0.57,Active,690.5,89,23,3
103,Sheep,13,Male,82.31,173.99,Enterotoxemia,337.1,,63.2,49.1,,Active,428.9,90,25,3
104,Sheep,12,Female,118.73,277.85,Parasites,1653.1,19.7,95.2,,3.3,Active,1621.6,114,19,1
105,Dog,4,Female,30.04,104.72,Canine Distemper,1572.1,41.2,199.5,202.6,4.4,Moderate,1753,118,29,2
106,Rabbit,5,Female,32.52,288.4,Myxomatosis,647.6,42.3,151.8,258.1,3.61,Sedentary,1712.3,,19,3
107,Rabbit,8,Female,38,121.22,Pasteurellosis,,125.3,175.4,124.2,4.68,Active,545.5,,18,2
108,Horse,6,Male,700.38,256.66,Colic,,92.2,73.5,221.7,1.59,Sedentary,1163.8,,20,1
109,Dog,3,Male,33.55,220.8,Canine Distemper,902.4,99.3,113.6,190.8,3.2,Moderate,1577.1,132,29,1
110,Rabbit,9,Female,,15.95,Dental Disease,1403.2,124.7,182,,,Active,,130,20,3
111,Horse,5,Female,324.39,124.68,Colic,2236.9,116.7,118.6,55.8,2.94,Sedentary,529.2,127,18,4
112,Dog,3,Female,17.17,52.63,Pancreatitis,,12.4,158,,1.45,Sedentary,1280.6,111,,3
113,Dog,13,Female,34.3,102.31,Hip Dysplasia,,54.3,124.1,28.5,4.21,Active,,86,14,2
114,Cat,10,Female,9.51,50.49,Dental Disease,2141.6,49.9,142.7,180.4,3.18,Active,1066.7,77,10,1
115,Cow,17,Male,579.92,277.24,Milk Fever,1368.9,121.9,31.4,163.1,3.17,Sedentary,1093.3,68,12,1
116,Cat,15,Female,37.62,323.53,FLUTD,1790.2,11.4,128.7,206.4,4.07,Moderate,1164.2,76,23,3
117,Sheep,1,Male,44.63,168.34,Scrapie,997.5,12.5,90.5,51.5,1.31,Active,,64,28,3
118,Horse,11,Female,710.76,296.34,Strangles,2129.4,38,53.4,273.8,,Sedentary,377.4,145,24,1
119,Cat,7,Female,23.45,59.01,Upper Respiratory Infections,1234.5,42.5,26.7,261.2,3.98,Moderate,911.9,117,21,3
120,Cat,15,Male,19.69,,FIV,2276.7,,45.1,,2.95,Active,1092,97,18,3
121,Rabbit,17,Female,27.81,138.93,Pasteurellosis,1121.1,,,81.8,3.33,Sedentary,1328.2,88,14,2
122,Rabbit,18,Female,31.64,104.41,Dental Disease,2060.1,102.5,128.2,195.2,1.53,Active,,135,27,3
123,Rabbit,12,Male,13.66,49.86,Myxomatosis,328.1,32.1,81.3,,0.54,Moderate,792.5,126,24,4
124,Horse,17,Male,305.81,149.76,Colic,1770.5,99.1,126,,3.57,Moderate,,153,19,1
125,Cow,8,Female,662.14,229.2,Johnes,525.5,74.2,161.7,105.9,4.63,Sedentary,,159,20,1
126,Sheep,8,Female,40.78,127.61,Pregnancy Toxemia,2263.4,130.4,173.6,185.9,3.45,Moderate,460.5,,,4
127,Sheep,7,Male,56.07,137.49,Foot Rot,2418.7,47.7,,26.4,,Active,305.6,128,17,3
128,Sheep,9,Male,44.16,,Pregnancy Toxemia,938.9,148,81.1,268.6,4.17,Moderate,800.6,128,,4
129,Sheep,20,Female,84.24,219.5,Foot Rot,1494.1,87.7,80.8,,0.95,Active,,68,16,1
130,Horse,12,Male,379.77,124.19,EMS,,,83.5,,4.92,Sedentary,737.3,143,22,3
131,Rabbit,6,Female,30.17,196.94,Encephalitozoon,1609.7,101,38.9,,,Active,653.7,119,24,3
132,Dog,1,Female,34.42,251.83,Heartworm,1015.2,43.4,197.4,34.4,4.15,Sedentary,1607.3,127,29,1
133,Rabbit,18,Female,35.35,125.14,Myxomatosis,2084.1,52.1,32.8,,4.54,Sedentary,1124,152,,4
134,Sheep,19,Female,62.71,191.8,Foot Rot,272.1,32.2,,197.9,,Moderate,1594.8,154,29,4
135,Horse,10,Female,418.77,,Colic,1905,69.7,150.2,218.3,4.22,Active,463.6,61,18,3
136,Horse,20,Male,596.48,277.77,Equine Influenza,231.8,56.1,38.9,276.8,2.19,Sedentary,369.6,157,21,3
137,Dog,13,Male,13.3,85.72,Pancreatitis,2414.6,45,40.5,103,1.57,Active,1610.2,150,21,1
138,Sheep,8,Female,89.37,217.24,Pregnancy Toxemia,293.3,38.1,83.4,152.7,4.18,Sedentary,1167.4,90,,3
139,Cat,12,Male,23.9,242.87,Dental Disease,2028.5,127.1,,101.7,,Sedentary,1677.4,,15,3
140,Horse,1,Female,553.62,275.88,EMS,1809.1,127.5,38.6,82.8,1.93,Active,814.8,116,13,2
141,Sheep,15,Female,81.74,252.91,Enterotoxemia,2179.7,85.9,177.6,284.5,2.57,Moderate,1008.3,151,12,1
142,Horse,1,Female,665.41,,PPID,495.5,94.9,181,,2.32,Active,1685.4,68,27,1
143,Cat,18,Male,26.62,63.47,FeLV,1016.2,68.8,7.5,70.6,1.83,Active,1244.2,138,24,2
144,Cow,16,Female,625.62,300.62,Mastitis,397.8,97.6,50.3,147.9,,Moderate,1671.7,70,19,1
145,Cow,13,Female,444.34,213.22,Mastitis,863.5,120.3,89.5,,,Moderate,1709.2,88,15,2
146,Rabbit,13,Male,,277.45,Myxomatosis,1601.5,78.6,,40.8,2.81,Active,397.1,73,,3
147,Rabbit,1,Female,13.31,,Uterine Tumors,,120.8,29.6,,0.67,Moderate,1004.6,70,20,4
148,Rabbit,8,Male,,,RHD,784.8,135,95.5,112,1.6,Sedentary,1250.8,117,25,3
149,Cat,16,Female,,67.58,FLUTD,,148.6,62.2,142.5,3.03,Moderate,1619.1,100,,4
150,Cat,4,Male,37.45,356.53,FLUTD,1138.1,145,23.3,225.3,2.94,Active,812.5,138,16,2
151,Horse,15,Female,,,Laminitis,270.5,44.8,86.6,135.8,4.49,Active,1170.6,,21,4
152,Cat,7,Male,23.38,68.65,Chronic Kidney Disease,1783.5,95.5,,84.5,1.91,Sedentary,885.9,80,18,2
153,Sheep,13,Male,90.65,190.24,Pregnancy Toxemia,490.5,60,112.1,276,,Moderate,841.4,96,16,2
154,Cow,16,Male,578.32,256.24,Mastitis,2220.4,108,,259.9,2.19,Sedentary,1116.5,,14,2
155,Rabbit,18,Female,10.35,66.64,Myxomatosis,1154,38,132.3,86.7,3.72,Active,759.8,,20,4
156,Cow,10,Male,428.44,156.84,Bloat,2210.6,48.8,50.4,190.9,1.32,Active,400.2,150,19,4
157,Rabbit,17,Male,5.55,29.14,Uterine Tumors,1889.8,145.7,,284.9,1.07,Active,442,145,21,4
158,Sheep,9,Female,65.87,221.52,Enterotoxemia,,95,,63.1,1.74,Active,,157,16,2
159,Rabbit,6,Female,25.75,78.67,Encephalitozoon,,38,111.5,,3.13,Sedentary,928.9,114,13,3
160,Rabbit,20,Female,7.1,25.77,Uterine Tumors,2069.6,65.1,73.4,57.2,0.65,Moderate,483.1,62,17,2
161,Dog,17,Female,15.53,32.38,Pancreatitis,1490.1,60.1,143.2,93.5,4.19,Active,1189,118,15,2
162,Cat,20,Female,26.83,238.22,Chronic Kidney Disease,588.7,42.5,58.1,110.2,2,Moderate,1260.2,126,18,4
163,Horse,13,Female,480.07,233.1,EHV,2252.4,18.3,129.4,25.1,,Sedentary,1568.8,,27,2
164,Dog,3,Male,32.52,115.86,Lyme Disease,1136.1,147.1,9.4,264.7,4.22,Active,877.2,66,15,4
165,Dog,10,Male,35.38,91.33,Heartworm,2265,62,135.3,,4.75,Active,595.9,97,28,1
166,Horse,10,Female,711.24,336.89,EMS,,86.4,,216.6,0.58,Sedentary,1631.2,92,20,4
167,Rabbit,9,Female,33.88,105.57,Dental Disease,318.1,66.6,166.1,,3.57,Moderate,,145,,1
168,Rabbit,14,Female,35.66,,Encephalitozoon,,109.3,141.5,37.4,2.11,Active,1741.8,74,,1
169,Cat,2,Male,,201.77,FeLV,258.8,114.5,13.5,,3.13,Active,1575.4,74,11,3
170,Cat,14,Male,8.54,,Hyperthyroidism,428.1,136,172.8,,3.13,Moderate,,154,16,3
171,Sheep,6,Female,74.09,267.68,Parasites,,54.8,40.9,60.2,4.78,Active,778.8,113,25,3
172,Horse,5,Female,305.52,124.5,Laminitis,1651.6,147.2,110,247.3,3.88,Moderate,1116.3,153,13,2
173,Horse,18,Female,614.65,280.8,Equine Influenza,1184.1,121.6,58.6,171.6,2.58,Moderate,1415.2,91,11,4
174,Cow,4,Male,732.33,326.61,Mastitis,,36.7,8.3,223.7,,Moderate,1611.8,122,14,2
175,Rabbit,9,Male,38,97.72,Dental Disease,1184.3,80.3,29.3,122.9,2.31,Sedentary,488.5,,20,1
176,Sheep,8,Male,58.16,126.56,Scrapie,,57.7,32.7,42.5,0.62,Sedentary,826.4,158,18,2
177,Horse,11,Male,629.52,212.57,Strangles,,81.7,112.6,170.4,1.34,Active,675.8,98,14,4
178,Cat,7,Male,32.43,166.07,FIV,662.6,53.5,170.7,,,Active,878.4,126,10,2
179,Sheep,9,Male,70.56,240.99,Enterotoxemia,1200.5,44,,,2.47,Moderate,880.4,93,,2
180,Rabbit,4,Male,15.25,,Encephalitozoon,2430.7,113.9,179.5,45.4,,Moderate,1204.6,,20,3
181,Horse,8,Male,599.27,289.8,PPID,2333.9,82.3,91.8,86.6,3.64,Sedentary,780.7,120,12,2
182,Cow,14,Male,306.36,94.87,Bloat,1967.6,87,194.4,,0.54,Sedentary,385.8,114,10,4
183,Cow,14,Male,664.25,227,Mastitis,2237.8,69.4,15.4,230.1,3.94,Moderate,1426.4,120,25,1
184,Cat,15,Female,8.22,17.46,Hyperthyroidism,1776.6,137.6,165.8,,3.48,Sedentary,,72,26,3
185,Sheep,19,Female,52.13,193.68,Foot Rot,,16.6,,136.3,2.72,Moderate,,,18,2
186,Cow,1,Male,438.95,201.05,Bloat,771,119.7,183.9,277.1,4.49,Moderate,320,145,13,2
187,Cow,16,Female,691.9,,Bloat,1246,122.9,144,41.9,0.63,Active,1345.4,109,,1
188,Cat,16,Male,10.21,57.28,FLUTD,860.5,64.8,149.8,,0.74,Sedentary,,81,13,3
189,Dog,6,Male,19.44,58.15,Allergies,287.3,19.6,73.8,292.8,1.62,Active,828.9,91,11,4
190,Cow,14,Female,661.7,318.35,Ketosis,752.7,119.6,19.6,66.3,2.37,Active,1711.6,146,16,2
191,Horse,14,Male,374.5,132.97,Laminitis,789.7,73.1,64.3,126.8,,Active,415.9,69,21,1
192,Dog,17,Female,20.19,179.48,Parvovirus,1774.9,,111.5,130.8,4.87,Moderate,1495.1,74,25,3
193,Sheep,4,Male,79.69,,Scrapie,988.2,122.6,183.2,111.1,0.98,Sedentary,428.3,75,20,1
194,Cat,3,Female,5.92,15.43,FeLV,696.7,33.3,173.1,53.2,4.1,Moderate,1583.1,133,24,2
195,Cat,19,Female,18.19,,FLUTD,229.8,61.2,90.9,87,0.78,Sedentary,653.9,91,16,4
196,Rabbit,3,Male,20.29,57.93,Myxomatosis,,106.9,,132.6,4.09,Sedentary,1130.9,155,22,1
197,Cat,12,Female,6.56,,Upper Respiratory Infections,,58,,168.1,2.01,Active,,113,23,1
198,Cat,9,Male,22.06,224.6,Upper Respiratory Infections,1642.9,61.7,187.9,233.6,4.7,Active,1554.2,132,13,4
199,Rabbit,11,Female,38.72,140.96,RHD,2264.4,114,134.5,164.2,2.84,Moderate,377.8,159,29,1
200,Cat,5,Male,24.79,,FeLV,,114.4,,,3.34,Moderate,360.6,143,,3
201,Rabbit,2,Female,19.14,71.61,RHD,310,94.1,9,56.6,4.02,Sedentary,1790.5,98,23,2
202,Cat,16,Male,,109.29,FLUTD,1202.1,67.6,189.3,290.6,3.99,Sedentary,507.8,66,11,1
203,Cat,3,Female,6.82,18.06,FeLV,1165.4,64.4,182.1,133.1,,Active,326.1,154,24,2
204,Rabbit,9,Male,24.61,68.29,GI Stasis,2153.6,,21.4,275.1,2.04,Sedentary,1294.8,151,11,4
205,Dog,20,Male,20.81,98.77,Hip Dysplasia,1710.6,20.6,95.8,36.7,4.44,Moderate,1056.3,62,29,2
206,Horse,5,Female,617.29,208.85,Equine Influenza,811.5,,31.6,265.7,2.87,Active,829.3,121,,2
207,Dog,13,Male,36.72,217.59,Heartworm,1812.9,139.1,91,,0.51,Moderate,,125,16,4
208,Dog,6,Male,38.87,,Canine Distemper,2112.2,27.9,62.6,,,Sedentary,,,25,3
209,Cow,2,Female,,124.66,BRD,331.4,95.8,153.7,,,Moderate,733.3,128,11,1
210,Sheep,5,Male,117.88,366.15,Caseous Lymphadenitis,1859.4,48.2,193.3,188.2,1.18,Active,764.5,128,26,2
211,Dog,2,Female,33.67,,Canine Distemper,2028.6,99.1,,122.5,,Active,,64,26,4
212,Cat,19,Female,20.76,57.76,Dental Disease,1031.2,107.5,94.1,257,,Moderate,,,24,3
213,Rabbit,20,Male,30.88,263.24,Myxomatosis,2387.9,119.9,166.5,100.9,1.99,Sedentary,1188.3,144,22,2
214,Rabbit,4,Female,35.32,236.81,RHD,2114,22.8,169.4,,0.83,Active,,129,27,4
215,Horse,9,Female,694.22,250.12,Colic,805.1,,73.8,220.1,4.37,Active,,112,20,4
216,Dog,8,Female,9.51,43.96,Hip Dysplasia,1104.7,123,111.8,106,3.72,Moderate,507.9,97,,3
217,Sheep,19,Female,117.82,266.27,Scrapie,2288.9,140.7,144.2,241.1,,Active,1538,156,,1
218,Cow,14,Female,409.22,,Johnes,2114.7,46.1,195.3,249.6,3.51,Active,1553.7,,11,4
219,Cat,14,Female,31.01,304.16,Chronic Kidney Disease,2056.2,53.1,,34.8,3.99,Active,1765.6,150,11,2
220,Horse,17,Female,442.65,179.19,PPID,2433.9,138.5,148.4,22.7,4.85,Moderate,1229.5,98,27,2
221,Dog,9,Male,36.84,114.31,Allergies,371.1,120.9,,,3.54,Sedentary,1300,86,28,2
222,Horse,15,Male,600.96,,Strangles,344.1,43.3,175.4,,3.29,Moderate,1216.4,96,26,4
223,Horse,12,Male,543.83,197.14,Equine Influenza,1200.5,91.6,,36.2,3.12,Active,1272.7,152,23,2
224,Sheep,17,Female,43.18,112.04,Enterotoxemia,2299.2,54,,244.7,0.77,Moderate,385.7,141,26,4
225,Sheep,16,Male,62.45,213.06,Caseous Lymphadenitis,1427.1,71.9,40.5,143.9,4.26,Sedentary,414.9,67,24,3
226,Horse,17,Male,409.25,,Laminitis,,108.6,39.4,246.7,4.14,Sedentary,1234,80,13,1
227,Horse,9,Male,314.83,112.86,EHV,557.2,44.9,24.1,35.5,4.89,Moderate,782,139,10,4
228,Cat,13,Male,26.28,36.5975,Dental Disease,1895.6,20.4,128.6,95.3,3.64,Sedentary,,155,21,2
229,Dog,17,Female,26.13,79.14,Pancreatitis,941.7,149,69.9,101.2,3.53,Moderate,,83,,1
230,Sheep,7,Female,73.01,184.42,Enterotoxemia,,69.8,44.9,119,0.84,Moderate,425.4,149,20,1
231,Cow,3,Female,661.99,,Johnes,1185.1,112.2,64.4,131.7,1.27,Moderate,734.2,,23,3
232,Horse,1,Female,,140.67,Laminitis,,149.7,126.2,25.2,3.98,Active,394.9,155,20,2
233,Dog,11,Female,20.05,61.88,Allergies,,15.3,193.8,90.8,3.72,Moderate,626.7,77,24,2
234,Dog,15,Female,31.58,273.99,Hip Dysplasia,1096.2,72.1,30.6,202,4.55,Sedentary,313.1,107,23,4
235,Dog,5,Female,27.6,273.1,Heartworm,,12.7,54.4,109,0.69,Active,,106,,3
236,Cow,17,Female,638.56,236.75,BRD,547.5,101,140.4,54.9,1.73,Active,1436.3,,29,3
237,Cat,3,Female,38.74,188.2,FLUTD,607.5,,42.7,,,Moderate,1332.9,110,,1
238,Cat,10,Female,,304.01,Dental Disease,,141.6,182.8,205.5,,Sedentary,1411.7,,13,1
239,Cow,20,Male,315.47,98.65,Mastitis,324.4,132.5,,276.1,1.27,Active,,152,12,3
